City_ID,City,Lat,Lng,MaxTemp,Humidity,Cloudiness,WindSpeed,Country,Date
209,revda,56.801,59.9303,-3.78,88,61,4.35,RU,1707158008
210,ust-tsilma,65.441,52.1498,-29.66,100,99,0.89,RU,1707158009
211,whitehorse,60.7161,-135.0538,-21.57,77,75,3.09,CA,1707157597
212,ambon,-3.6954,128.1814,26.16,15,75,1.03,ID,1707158009
213,corner brook,48.9667,-57.9484,0.09,92,100,6.98,CA,1707158009
214,harper,4.375,-7.7169,28.05,76,12,4.56,LR,1707158010
215,mirny,62.5353,113.9611,-21.54,100,98,1.16,RU,1707158010
216,gisborne,-38.6533,178.0042,17.5,70,0,2.66,NZ,1707157871
217,adigrat,14.277,39.462,15.83,68,80,1.23,ET,1707158011
218,darchula,29.8412,80.5287,8.67,89,46,1.05,NP,1707158011
219,st. john's,47.5649,-52.7093,2.86,96,100,5.14,CA,1707157946
220,colonia,50.9333,6.95,9.47,75,40,4.12,DE,1707157970
221,azna,33.6095,48.9307,0.57,86,100,2.84,IR,1707158011
222,columbia falls,48.3725,-114.1815,1.18,89,100,1.54,US,1707157974
223,banfora,10.6333,-4.7667,29.73,11,100,2.55,BF,1707158012
224,saint-martin-de-crau,43.6395,4.8127,11.88,81,0,2.06,FR,1707158012
225,yuzhno-kurilsk,44.0306,145.8556,-5.9,60,51,8.4,RU,1707158012
226,chengde,40.9725,117.9361,-6.04,42,16,1.25,CN,1707158012
227,san patricio,28.017,-97.5169,19.97,54,70,7.97,US,1707158013
228,homer,59.6425,-151.5483,-3.06,80,100,0.0,US,1707158013
229,kingston,17.997,-76.7936,28.98,86,75,5.14,JM,1707157717
230,sarmiento,-45.5882,-69.07,28.08,12,2,9.58,AR,1707158013
231,chengdu,30.6667,104.0667,5.94,81,0,1.0,CN,1707158014
232,pariaman,-0.619,100.12,27.03,85,100,1.18,ID,1707158014
233,panambi,-28.2925,-53.5017,29.77,64,100,2.27,BR,1707158014
234,upington,-28.4478,21.2561,34.21,7,0,4.12,ZA,1707158014
235,betio village,1.358,172.9211,29.02,78,100,6.91,KI,1707158014
236,radhanpur,23.8333,71.6,20.49,54,1,1.42,IN,1707158015
237,durres,41.3231,19.4414,7.1,70,6,0.91,AL,1707158015
238,bonthe,7.5264,-12.505,27.55,75,0,4.68,SL,1707158015
239,pacific grove,36.6177,-121.9166,11.55,90,100,3.6,US,1707157829
240,dongola,19.1667,30.4833,16.63,15,99,5.61,SD,1707158016
241,along,28.1667,94.7667,11.75,98,100,0.63,IN,1707158016
242,kerikeri,-35.2268,173.9474,13.84,93,5,1.06,NZ,1707158016
243,selfoss,63.9331,-20.9971,-12.07,80,3,4.49,IS,1707158016
244,badou,7.5833,0.6,27.18,18,28,1.86,TG,1707158016
245,mount isa,-20.7333,139.5,25.87,94,100,1.03,AU,1707157842
246,touros,-5.1989,-35.4608,29.64,66,43,7.01,BR,1707158017
247,sinop,41.7711,34.8709,5.92,81,100,5.55,TR,1707158017
248,eirunepe,-6.6603,-69.8736,27.32,86,100,0.19,BR,1707158017
249,aasiaat,68.7098,-52.8699,-30.26,89,16,3.48,GL,1707158017
250,kalix,65.853,23.1565,-14.8,95,99,3.21,SE,1707158017
251,klyuchi,52.2667,79.1667,-7.6,86,75,4.5,RU,1707158018
252,svetlyy,54.675,20.1347,4.09,80,100,6.59,RU,1707158018
253,phumi veal sre,10.9808,104.7783,25.18,81,14,3.09,KH,1707158018
254,saint-leu,-21.15,55.2833,23.48,69,87,1.93,RE,1707158018
255,khilok,51.3674,110.4676,-21.43,97,7,1.17,RU,1707158019
256,egilsstadir,65.2653,-14.3948,-10.05,79,20,1.03,IS,1707157979
257,bikenibeu village,1.3673,173.1241,28.98,84,75,4.63,KI,1707158019
258,cuyo,10.8525,121.0086,26.36,83,92,7.13,PH,1707158019
259,whangarei,-35.7317,174.3239,14.78,92,22,0.82,NZ,1707158020
260,oyem,1.5995,11.5793,25.35,66,38,2.42,GA,1707158020
261,nelson bay,-32.7167,152.15,24.49,91,100,2.68,AU,1707158020
262,antofagasta,-23.65,-70.4,26.6,64,5,3.75,CL,1707157936
263,lagos,6.5833,3.75,32.18,40,31,2.75,NG,1707157800
264,kamalpur,24.2,91.8333,17.75,58,99,0.66,IN,1707158021
265,whitby,54.4877,-0.615,11.29,77,100,5.36,GB,1707158021
266,moyale,3.5167,39.0584,25.81,34,93,4.46,KE,1707158021
267,liberal,37.0431,-100.921,9.58,87,100,2.06,US,1707158022
268,chiroqchi,39.0336,66.5722,7.2,36,95,3.46,UZ,1707158022
269,acapulco de juarez,16.8634,-99.8901,29.9,54,0,2.06,MX,1707158022
270,prince rupert,54.3161,-130.3201,3.83,100,0,9.77,CA,1707158022
271,kuusamo,65.9667,29.1833,-15.98,85,75,3.09,FI,1707157765
272,minas de barroteran,27.6333,-101.2833,19.27,28,0,4.17,MX,1707158023
273,pindushi,62.9152,34.58,-14.5,95,100,2.81,RU,1707158023
274,novouzensk,50.4592,48.1431,0.0,97,100,7.15,RU,1707158023
275,fort bragg,35.139,-79.006,14.55,39,20,5.66,US,1707158023
276,ulladulla,-35.35,150.4667,22.09,96,100,2.99,AU,1707158024
277,san martin de los andes,-40.1604,-71.3486,23.14,50,58,4.92,AR,1707158024
278,howrah,22.5892,88.3103,21.0,83,0,3.09,IN,1707158024
279,rongelap,11.1635,166.8941,26.15,83,96,9.01,MH,1707158024
280,bereeda,11.8704,51.0579,25.44,77,10,2.98,SO,1707158025
281,ciudad lazaro cardenas,17.9583,-102.2,28.39,60,0,4.58,MX,1707158025
282,ha giang,22.8333,104.9833,19.75,98,44,1.27,VN,1707158025
283,tazovsky,67.4667,78.7,-24.96,100,41,3.56,RU,1707158025
284,yulinshi,38.2906,109.7494,-7.48,81,7,3.31,CN,1707158026
285,mulayjah,27.271,48.4242,14.33,54,0,3.19,SA,1707158026
286,hami,42.8,93.45,-4.7,62,6,2.64,CN,1707158026
287,margate,51.3813,1.3862,10.62,81,100,5.81,GB,1707157976
288,zafferana etnea,37.6822,15.108,10.9,76,0,1.56,IT,1707158027
289,babu,24.4167,111.5167,6.23,94,100,2.22,CN,1707158027
290,pandan,14.0453,124.1694,25.17,89,75,5.17,PH,1707157968
291,kapuskasing,49.4169,-82.4331,-2.95,100,100,0.51,CA,1707158027
292,velizh,55.6056,31.1967,-6.85,96,13,2.32,RU,1707158027
293,vorgashor,67.5833,63.95,-23.63,99,17,2.28,RU,1707158028
294,greymouth,-42.4667,171.2,14.0,91,100,1.77,NZ,1707158028
295,mitu,1.1983,-70.1733,25.35,95,100,1.76,CO,1707158028
296,vila velha,-20.3297,-40.2925,29.97,78,20,6.69,BR,1707157970
297,simanggang,1.2472,111.4528,25.01,94,100,0.0,MY,1707158029
298,viedma,-40.8135,-62.9967,37.72,18,0,7.19,AR,1707157877
299,esil,51.9556,66.4042,0.07,95,100,10.54,KZ,1707158029
300,stung treng,13.5259,105.9683,25.68,56,55,2.13,KH,1707158029
301,salinopolis,-0.6136,-47.3561,29.28,70,65,5.79,BR,1707158030
302,ocean shores,46.9737,-124.1563,8.86,80,100,2.57,US,1707157983
303,usinsk,65.9939,57.5281,-28.85,100,62,0.45,RU,1707158030
304,nova vicosa,-17.8919,-39.3719,28.82,67,61,4.83,BR,1707158030
305,balabac,7.9868,117.0645,26.74,75,98,5.03,PH,1707158030
306,alappuzha,9.49,76.3264,25.81,81,1,1.99,IN,1707158031
307,abilene,32.4487,-99.7331,12.88,66,100,6.69,US,1707158031
308,greifswald,54.1,13.3833,7.26,100,100,11.68,DE,1707157578
309,zambezi,-13.5432,23.1047,22.28,81,78,2.23,ZM,1707158032
310,phan rang-thap cham,11.5667,108.9833,21.52,89,44,2.24,VN,1707158032
311,hun,29.1268,15.9477,13.67,49,0,2.33,LY,1707158032
312,santa catarina,-27.0,-50.0,32.4,34,100,2.39,BR,1707158032
313,mumford,5.2618,-0.759,26.75,82,17,4.47,GH,1707158032
314,lionel town,17.8101,-77.2406,29.39,75,31,6.11,JM,1707158033
315,kodiak,57.79,-152.4072,0.73,93,100,3.09,US,1707158033
316,sarpsborg,59.2839,11.1096,-0.78,74,100,0.91,NO,1707157939
317,xinyi,22.373,110.9475,17.59,91,22,1.55,CN,1707158033
318,ola,59.5833,151.2833,-21.59,82,100,4.49,RU,1707158034
319,mala bilozerka,47.2474,34.9346,4.49,76,100,11.55,UA,1707158034
320,emerald,-23.5333,148.1667,23.52,82,85,4.5,AU,1707157958
321,huanggang,23.677,116.9996,15.94,82,47,4.32,CN,1707158034
322,cill airne,52.05,-9.5167,11.03,87,40,8.23,IE,1707158034
323,milledgeville,33.0801,-83.2321,10.14,84,100,2.57,US,1707158035
324,aswan,24.0934,32.907,14.68,35,1,5.1,EG,1707158035
325,sao lourenco do oeste,-26.3592,-52.8511,30.36,40,41,1.97,BR,1707158035
326,herkimer,43.0256,-74.986,4.34,59,10,2.68,US,1707158035
327,tazacorte,28.629,-17.9293,22.86,22,0,2.57,ES,1707158035
328,kegen,43.0197,79.2203,-15.21,77,100,3.01,KZ,1707158036
329,kirensk,57.7853,108.1119,-7.24,94,100,4.47,RU,1707158000
330,bayt al faqih,14.5164,43.3245,25.52,76,98,1.5,YE,1707158036
331,akureyri,65.6835,-18.0878,-7.04,73,75,6.17,IS,1707158016
332,albatera,38.179,-0.8706,16.18,73,100,0.47,ES,1707158037
333,sparti,37.0733,22.4297,13.3,62,0,2.72,GR,1707158037
334,udomlya,57.8794,34.9925,-7.38,98,99,1.62,RU,1707158037
335,cabo san lucas,22.8909,-109.9124,28.67,45,0,1.03,MX,1707157869
336,thurso,58.5927,-3.5259,4.14,99,100,4.28,GB,1707158037
337,ta`u,-14.2336,-169.5144,28.22,79,69,3.62,AS,1707158038
338,saipan,15.1355,145.701,24.39,73,40,4.12,MP,1707158038
339,magadan,59.5667,150.8,-21.93,76,100,4.08,RU,1707158038
340,kiunga,-6.1219,141.2906,23.07,100,100,0.94,PG,1707158038
341,vilyuchinsk,52.9306,158.4028,-10.85,80,75,4.38,RU,1707158038
342,tadine,-21.55,167.8833,25.61,85,100,7.35,NC,1707158039
343,owando,-0.4819,15.8999,26.35,59,49,1.47,CG,1707158039
344,bismarck,46.8083,-100.7837,3.14,98,100,5.14,US,1707157960
345,codajas,-3.8367,-62.0569,30.99,66,86,1.36,BR,1707158039
346,ilulissat,69.2167,-51.1,-20.99,54,20,5.66,GL,1707157960
347,ormara,25.2088,64.6357,22.19,64,34,5.67,PK,1707157996
348,dogbo,6.8167,1.7833,27.19,42,9,2.3,BJ,1707158040
349,nuuk,64.1835,-51.7216,-11.66,72,75,6.69,GL,1707157841
350,gereida,11.2811,25.1414,22.75,15,60,5.51,SD,1707158040
351,sannicolau mare,46.0833,20.6333,10.14,76,2,3.49,RO,1707158040
352,fortuna,40.5982,-124.1573,10.75,96,100,3.09,US,1707158041
353,la'ie,21.6477,-157.9253,21.73,73,67,4.47,US,1707158041
354,necochea,-38.5473,-58.7368,30.8,35,100,2.6,AR,1707158041
355,kupang,-10.1667,123.5833,25.82,89,100,2.11,ID,1707158041
